SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments;nome_rete;annoInizio;annoFine;tipo
2168;ATERNO A FAGNANO;5750;OD:5750;42,24805556;13,56722222;620;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;site2
2171;TASSO a SCANNO;5800;OD:5800;41,91750000;13,87194444;1054;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;site2
2177;aterno sagittario a allogg.idr;5900;OD:5900;42,15638889;13,82972222;248;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;site2
2187;PESCARA AD ALANNO;6030;OD:6030;42,27083333;14,01305556;95;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1980;2020;site1
2214;SANGRO a VILLA S.MARIA;6720;OD:6720;41,95500000;14,35638889;287;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;site1
2274;BARISCIANO;920;OD:920;42,32361111;13,57388889;932;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;site1
2;TERAMO;100;OD:100;42,65472222;13,71722222;264;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
404;ALANNO;1040;OD:1040;42,29555556;13,98527778;150;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
606;CHIETI;1060;OD:1060;42,37694444;14,18305556;244;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1112;CATIGNANO;1110;OD:1110;42,34611111;13,94527778;323;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1938;ORTONA;1300;OD:1300;42,34972222;14,40500000;51;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1940;LANCIANO;1330;OD:1330;42,22583333;14,38444444;273;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1951;ROCCARASO;1430;OD:1430;41,85194444;14,08361111;1280;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1958;MONTENERODOMO;1520;OD:1520;41,99000000;14,24861111;1004;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1961;BOMBA;1560;OD:1560;42,03444444;14,36833333;563;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1980;CUPELLO;1710;OD:1710;42,08222222;14,65000000;265;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1982;VASTO;1740;OD:1740;42,09972222;14,69833333;187;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
1999;CAMPOTOSTO;190;OD:190;42,53611111;13,40638889;1392;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2088;CIVITELLA DEL TRONTO;40;OD:40;42,77333333;13,66777778;516;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2094;ARSITA;410;OD:410;42,50000000;13,79805556;510;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2135;MONTEREALE;470;OD:470;42,52611111;13,24138889;825;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2247;ANVERSA  (ex CENT.LE ANVERSA);750;OD:750;41,99444444;13,80277778;538;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2256;SANTO STEFANO;80;OD:80;42,64750000;13,60277778;734;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2258;SULMONA;810;OD:810;42,06861111;13,91444444;365;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2263;VILLA S.LUCIA;870;OD:870;42,33361111;13,77944444;1119;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2273;COLLEPIETRO;910;OD:910;42,22111111;13,78000000;845;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2018;sito3
2278;PESCOSANSONESCO;960;OD:960;42,25361111;13,88444444;464;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
2280;CARAMANICO METEO;980;OD:980;42,15083333;14,01916667;785;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1986;2020;sito3
2281;SALLE;990;OD:990;42,17861111;13,96083333;430;Italia;Abruzzo;Quota ricavata da dem;NESSUNA INFORMAZIONE RETE;1974;2020;sito3
