SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;area;cod_reg;Comments;State;annoInizio;annoFine;tipo
6709;TORINO/BRIC DELLA C;160610;160610;45,033;7,733;710;11;PECETTO TORINESE;TORINO;PIEMONTE;Sinottica;nord;1;NA;Italy;1966;2019;sito3
6718;MILANO/LINATE;160800;160800;45,433;9,283;103;11;PESCHIERA BORROMEO;MILANO;LOMBARDIA;Sinottica;nord;3;NA;Italy;1973;2020;sito3
6720;PIACENZA;160840;160840;44,917;9,733;138;11;SAN GIORGIO PIACENTINO;PIACENZA;EMILIA-ROMAGNA;Sinottica;nord;8;NA;Italy;1961;2020;sito3
6721;BRESCIA/GHEDI;160880;160880;45,417;10,283;97;11;GHEDI;BRESCIA;LOMBARDIA;Sinottica;nord;3;NA;Italy;1961;2020;sito3
6723;VERONA/VILLAFRANCA;160900;160900;45,383;10,867;68;11;VILLAFRANCA DI VERONA;VERONA;VENETO;Sinottica;nord;5;NA;Italy;1961;2020;sito3
6729;TREVISO/ISTRANA;160980;160980;45,683;12,100;46;11;ISTRANA;TREVISO;VENETO;Sinottica;nord;5;NA;Italy;1965;2020;sito3
6730;TREVISO/S. ANGELO;160990;160990;45,650;12,183;23;11;QUINTO DI TREVISO;TREVISO;VENETO;Sinottica;nord;5;NA;Italy;1964;2020;sito3
6733;VENEZIA/TESSERA;161050;161050;45,500;12,333;6;11;VENEZIA;VENEZIA;VENETO;Sinottica;nord;5;NA;Italy;1973;2020;sito3
6736;TRIESTE;161100;161100;45,650;13,750;20;11;TRIESTE;TRIESTE;FRIULI-VENEZIA GIULIA;Sinottica;nord;6;NA;Italy;1961;2019;sito3
6768;CERVIA;161480;161480;44,217;12,300;10;11;CESENA;FORLI-CESENA;EMILIA-ROMAGNA;Sinottica;nord;8;NA;Italy;1969;2020;sito3
6769;RIMINI;161490;161490;44,033;12,617;13;11;RIMINI;RIMINI;EMILIA-ROMAGNA;Sinottica;nord;8;NA;Italy;1961;2020;sito3
6771;CAPO MELE;161530;161530;43,950;8,167;221;11;LAIGUEGLIA;SAVONA;LIGURIA;Sinottica;nord;7;NA;Italy;1964;2020;sito3
6773;PISA/S. GIUSTO;161580;161580;43,683;10,383;6;11;PISA;PISA;TOSCANA;Sinottica;centro;9;NA;Italy;1961;2020;sito3
6776;MONTE ARGENTARIO;161680;161680;42,383;11,167;631;11;MONTE ARGENTARIO;GROSSETO;TOSCANA;Sinottica;centro;9;NA;Italy;1964;2020;sito3
6779;AREZZO;161720;161720;43,467;11,850;249;11;AREZZO;AREZZO;TOSCANA;Sinottica;centro;9;NA;Italy;1966;2020;sito3
6782;FRONTONE;161790;161790;43,517;12,733;574;11;FRONTONE;PESARO E URBINO;MARCHE;Sinottica;centro;11;NA;Italy;1965;2020;sito3
6794;GROSSETO;162060;162060;42,750;11,067;7;11;GROSSETO;GROSSETO;TOSCANA;Sinottica;centro;9;NA;Italy;1961;2019;sito3
6810;PESCARA;162300;162300;42,433;14,200;11;11;PESCARA;PESCARA;ABRUZZO;Sinottica;centro;13;NA;Italy;1973;2020;sito3
6812;TERMOLI;162320;162320;42,000;15,000;44;11;TERMOLI;CAMPOBASSO;MOLISE;Sinottica;centro;14;NA;Italy;1967;2020;sito3
6826;CAMPOBASSO;162520;162520;41,567;14,650;807;11;CAMPOBASSO;CAMPOBASSO;MOLISE;Sinottica;centro;14;NA;Italy;1961;2020;sito3
6827;GRAZZANISE;162530;162530;41,050;14,067;10;11;CANCELLO ED ARNONE;CASERTA;CAMPANIA;Sinottica;sud;15;NA;Italy;1964;2020;sito3
6828;MONTE S. ANGELO;162580;162580;41,700;15,950;844;11;MONTE SANT'ANGELO;FOGGIA;PUGLIA;Sinottica;sud;16;NA;Italy;1968;2020;sito3
6841;PONZA;162800;162800;40,917;12,950;185;11;PONZA;LATINA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2019;sito3
6851;GIOIA DEL COLLE;163120;163120;40,767;16,933;350;11;GIOIA DEL COLLE;BARI;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2018;sito3
6856;BRINDISI;163200;163200;40,650;17,950;10;11;BRINDISI;BRINDISI;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6858;MARINA DI GINOSA;163250;163250;40,433;16,883;12;11;GINOSA;TARANTO;PUGLIA;Sinottica;sud;16;NA;Italy;1968;2020;sito3
6859;LECCE;163320;163320;40,233;18,150;61;11;GALATINA;LECCE;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6865;MONTE SCURO;163440;163440;39,333;16,400;1720;11;CELICO;COSENZA;CALABRIA;Sinottica;sud;18;NA;Italy;1965;2020;sito3
6869;S. MARIA DI LEUCA;163600;163600;39,817;18,350;112;11;CASTRIGNANO DEL CAPO;LECCE;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6874;USTICA;164000;164000;38,700;13,183;251;11;USTICA;PALERMO;SICILIA;Sinottica;sud;19;NA;Italy;1961;2019;sito3
6881;MESSINA;164200;164200;38,200;15,550;51;11;MESSINA;MESSINA;SICILIA;Sinottica;sud;19;NA;Italy;1961;2020;sito3
