SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;nome_rete;annoInizio;annoFine;tipo
5;Monte Maria;02500MS;OD:02500MS;46,70568911;10,52126760;1256;Italy;Bolzano;Quota ricavata da dem;1924;1998;1967;1998;1967;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
18;Silandro;09700MS;OD:09700MS;46,62375473;10,78026981;684;Italy;Bolzano;Quota ricavata da dem;1921;1998;1956;1998;1956;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
23;Diga di Gioveretto Osservatore;11200BM;OD:11200BM;46,50906285;10,72507183;1896;Italy;Bolzano;Quota ricavata da dem;1972;1998;1973;1998;1973;1998;NESSUNA INFORMAZIONE RETE;1972;2020;sito3
28;Vernago;15800MS;OD:15800MS;46,73565796;10,84927965;1823;Italy;Bolzano;Quota ricavata da dem;1953;1998;1967;1998;1967;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
30;Naturno;19300MS;OD:19300MS;46,64766321;10,99117805;561;Italy;Bolzano;Quota ricavata da dem;1920;1998;1973;1998;1973;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
39;Plata;20900MS;OD:20900MS;46,82249293;11,17808117;1118;Italy;Bolzano;Quota ricavata da dem;1924;1998;1956;1998;1956;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
49;Merano - Quarazze;23200MS;OD:23200MS;46,68805798;11,13656021;369;Italy;Bolzano;Quota ricavata da dem;1920;1998;1983;1998;1983;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
58;Diga di Zoccolo-S.Valburga;25900MS;OD:25900MS;46,54187189;10,99013577;1282;Italy;Bolzano;Quota ricavata da dem;1959;1998;1979;1998;1979;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
83;Ridanna;34500MS;OD:34500MS;46,90908292;11,30677415;1337;Italy;Bolzano;Quota ricavata da dem;1925;1998;1965;1998;1965;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
94;Dobbiaco;41000MS;OD:41000MS;46,72997843;12,21915906;1219;Italy;Bolzano;Quota ricavata da dem;1922;1998;1956;1998;1956;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
102;S.Maddalena in Casies;44500MS;OD:44500MS;46,83526049;12,24271916;1456;Italy;Bolzano;Quota ricavata da dem;1920;1998;1967;1998;1967;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
110;Predoi;50500MS;OD:50500MS;47,03658867;12,09912721;1515;Italy;Bolzano;Quota ricavata da dem;1980;1998;1979;1998;1979;1998;NESSUNA INFORMAZIONE RETE;1980;2020;sito3
135;La Villa in Badia Osservatore;61500BM;OD:61500BM;46,58363040;11,90707588;1398;Italy;Bolzano;Quota ricavata da dem;1987;1998;1987;1998;1987;1998;NESSUNA INFORMAZIONE RETE;1987;2020;sito3
149;Terento;65600MS;OD:65600MS;46,83445756;11,78557637;1437;Italy;Bolzano;Quota ricavata da dem;1981;1998;1980;1998;1980;1998;NESSUNA INFORMAZIONE RETE;1981;2020;sito3
150;Fundres;66500MS;OD:66500MS;46,88718005;11,70294280;1151;Italy;Bolzano;Quota ricavata da dem;1924;1998;1977;1998;1977;1998;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
166;Selva Gardena;73500MS;OD:73500MS;46,54555526;11,76842971;1713;Italy;Bolzano;Quota ricavata da dem;1937;1998;1991;1998;1991;1998;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
172;Colma-Barbiano;74900MS;OD:74900MS;46,59512824;11,52910684;511;Italy;Bolzano;Quota ricavata da dem;1920;1998;1977;1998;1977;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
176;Fi� allo Sciliar;75600MS;OD:75600MS;46,51340578;11,50595194;804;Italy;Bolzano;Quota ricavata da dem;1924;1998;1956;1998;1956;1998;NESSUNA INFORMAZIONE RETE;1962;2020;sito3
197;Sarentino;82200MS;OD:82200MS;46,64063165;11,35506130;976;Italy;Bolzano;Quota ricavata da dem;1921;1998;1977;1998;1977;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
203;Bolzano;83200MS;OD:83200MS;46,49768516;11,31283145;246;Italy;Bolzano;Quota ricavata da dem;1920;1998;1956;1998;1956;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
206;Nova Ponente;85120MS;OD:85120MS;46,42048615;11,42685821;1416;Italy;Bolzano;Quota ricavata da dem;1927;1998;1978;1998;1978;1998;NESSUNA INFORMAZIONE RETE;1982;2020;sito3
217;Salorno;88820MS;OD:88820MS;46,23623649;11,18548738;288;Italy;Bolzano;Quota ricavata da dem;1923;1998;1977;1998;1977;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
223;Sesto;91500MS;OD:91500MS;46,70305366;12,34996391;1490;Italy;Bolzano;Quota ricavata da dem;1921;1998;1956;1998;1956;1998;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
