SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
146;1865;Borgia - Roccelletta;16,59777778;38,81861111;20;1;OD:1865;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
181;2072;Stignano;16,47438889;38,42516667;417;1;OD:2072;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
2;1010;Cosenza;16,26527778;39,28694444;269;1;OD:1010;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
7;1030;San Pietro in Guarano;16,31361111;39,34555556;766;1;OD:1030;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
14;1092;Camigliatello - Monte Curcio;16,42305556;39,31611111;1711;1;OD:1092;NA;18;NA;NESSUNA INFORMAZIONE RETE;1990;2019;sito3
18;1130;Torano Scalo;16,21000000;39,49388889;93;1;OD:1130;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
20;1140;Tarsia;16,27277778;39,61722222;203;1;OD:1140;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
34;1230;San Sosti;16,02805556;39,66444444;384;1;OD:1230;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
60;1380;Cropalati;16,72444444;39,51583333;321;1;OD:1380;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
64;1410;Cariati Marina;16,94022222;39,50513889;14;1;OD:1410;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
68;1440;Crucoli;17,00388889;39,42444444;279;1;OD:1440;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
71;1455;Ciro' Marina - Punta Alice;17,12611111;39,38416667;8;1;OD:1455;NA;18;NA;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
95;1580;Cerenzia;16,78333333;39,24250000;596;1;OD:1580;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
107;1675;Crotone - Papanice;17,02777778;39,07250000;118;1;OD:1675;NA;18;NA;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
108;1680;Crotone;17,13111111;39,08694444;1;1;OD:1680;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
111;1695;Crotone - Salica;17,12611111;39,01222222;145;1;OD:1695;NA;18;NA;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
112;1700;Isola di Capo Rizzuto - Campolongo;17,00880000;38,94305556;151;1;OD:1700;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
125;1760;Botricello;16,85863889;38,94147222;32;1;OD:1760;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
127;1780;Cropani;16,78000000;38,97083333;317;1;OD:1780;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
135;1830;Albi;16,59833333;39,02638889;803;1;OD:1830;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
140;1850;Catanzaro;16,58583333;38,91083333;315;1;OD:1850;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
156;1935;Cenadi - Serralta;16,36833333;38,74916667;949;1;OD:1935;NA;18;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
157;1940;Palermiti;16,45286111;38,74919444;525;1;OD:1940;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
160;1960;Chiaravalle Centrale;16,40888889;38,67138889;551;1;OD:1960;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
177;2040;Monasterace - Punta Stilo;16,55222222;38,45361111;64;1;OD:2040;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
184;2086;Mongiana;16,31672222;38,51630556;885;1;OD:2086;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
191;2130;Roccella Ionica;16,40000000;38,32166667;20;1;OD:2130;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
194;2150;Fabrizia - Cassari;16,29333333;38,44222222;999;1;OD:2150;NA;18;NA;NESSUNA INFORMAZIONE RETE;1969;2020;sito3
196;2160;Gioiosa Ionica;16,32972222;38,30111111;18;1;OD:2160;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
198;2180;Antonimina - Canolo Nuovo;16,12722222;38,31305556;925;1;OD:2180;NA;18;NA;NESSUNA INFORMAZIONE RETE;1963;2020;sito3
205;2210;Ardore Superiore;16,15505556;38,20594444;275;1;OD:2210;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
208;2230;Plati';16,04444444;38,22222222;329;1;OD:2230;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
212;2260;San Luca;16,06727778;38,14841667;131;1;OD:2260;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
213;2270;Sant'Agata del Bianco;16,08533333;38,10075000;310;1;OD:2270;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
215;2290;Staiti;16,03550000;37,99986111;369;1;OD:2290;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
217;2310;Capo Spartivento;16,05613889;37,92727778;61;1;OD:2310;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
218;2320;Bova Superiore;15,93286111;37,99611111;791;1;OD:2320;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
226;2380;Montebello Ionico;15,75833333;37,98388889;463;1;OD:2380;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
239;2465;Cardeto;15,79955556;38,10336111;1230;1;OD:2465;NA;18;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
246;2510;Scilla;15,71972222;38,25166667;60;1;OD:2510;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
261;2560;Sinopoli;15,87747222;38,25991667;457;1;OD:2560;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
263;2580;Molochio;16,03136111;38,30883333;287;1;OD:2580;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
265;2600;Cittanova;16,07750000;38,35222222;407;1;OD:2600;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
266;2610;Rizziconi;15,97163889;38,40769444;92;1;OD:2610;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
281;2670;Arena;16,21691667;38,56213889;566;1;OD:2670;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
284;2690;Feroleto della Chiesa;16,06833333;38,46805556;180;1;OD:2690;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
290;2730;Mileto;16,06480800;38,61386100;328;1;OD:2730;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
292;2740;Rosarno;15,98811111;38,50050000;27;1;OD:2740;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
294;2760;Joppolo;15,90525000;38,59200000;635;1;OD:2760;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
296;2780;Zungri;15,98294444;38,65347222;451;1;OD:2780;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
299;2800;Vibo Valentia;16,10638889;38,67722222;481;1;OD:2800;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
