SiteID;SiteCode;SiteName;Elevation_dem;nomeTemp;idSensoreTemp;nomePrec;idSensorePrec;distanzakm_sensoreTemp_sensorePrec;Longitude;Latitude;Elevation;nome_rete;annoInizio;annoFine;tipo
43;NA;Montella;499,6351928710938;Montella;12254;Montella;12255;0;15,05027778;40,84777778;499,6351928710938;NESSUNA INFORMAZIONE RETE;2000;2020;site2
54;NA;Paduli;139,4526672363281;Paduli;12262;Paduli;12263;0;14,83472222;41,14805556;139,4526672363281;NESSUNA INFORMAZIONE RETE;2000;2020;site2
9;NA;Auletta;245,9533996582031;Auletta;12266;Auletta;12267;0;15,42805556;40,55166667;245,9533996582031;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
14;NA;Benevento;117,5702285766602;Benevento;12250;Benevento;12251;0;14,76222222;41,14194444;117,5702285766602;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
23;NA;Castelluccio;283,8472900390625;Castelluccio;12272;Castelluccio;12273;0;15,33777778;40,58166667;283,8472900390625;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
33;NA;Grazzanise;12,9779176712036;Grazzanise;12242;Grazzanise;12243;0;14,10527778;41,09250000;12,9779176712036;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
46;NA;Montemarano;815,4692382812500;Montemarano;12275;Montemarano;12276;0;15,00361111;40,91416667;815,4692382812500;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
56;NA;Persano sele;20,1688442230225;Persano sele;12246;Persano sele;12247;0;15,03250000;40,54416667;20,1688442230225;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
76;NA;S.mauro;40,6466827392578;S.mauro;12295;S.mauro;12294;0;14,63222222;40,76388889;40,6466827392578;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
77;NA;S.pietro;204,2464141845703;S.pietro;12291;S.pietro;12290;0;14,78694444;40,81833333;204,2464141845703;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
92;NA;Torriello;839,5303344726562;Torriello;15286;Torriello;15285;0;14,62583333;40,84750000;839,5303344726562;NESSUNA INFORMAZIONE RETE;2000;2018;sito3
110;NA;Bellosguardo;483,2072143554688;NA;NA;Bellosguardo;12309;NA;15,31138889;40,42333333;483,2072143554688;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
158;NA;Piani di prato;860,9732666015625;NA;NA;Piani di prato;15280;NA;14,64861111;40,83472222;860,9732666015625;NESSUNA INFORMAZIONE RETE;2000;2018;sito3
160;NA;Ponte camerelle;88,0030593872070;NA;NA;Ponte camerelle;12298;NA;14,68472222;40,73416667;88,0030593872070;NESSUNA INFORMAZIONE RETE;2000;2018;sito3
195;NA;Vietri;597,2850952148438;NA;NA;Vietri;12307;NA;15,51750000;40,59500000;597,2850952148438;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
