SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;County;nome_rete;annoInizio;annoFine;tipo
9317;RAVENNAURB;08RAVENNAURB;44,40709;12,19867;4;emiliaromagna;Idrografica;1961;2019;site2
9573;Monghidoro  tele   Reno-Idice;08MONGHIDOROTELE;44,22230;11,32340;801;emiliaromagna;Idrografica;1961;2020;site1
14158;Bologna idrografico;OPENDATA26;44,49972;11,34611;45;emiliaromagna;RETE EMILIA ROMAGNA OPENDATA;1961;2020;site1
14246;Ferrara urbana;OPENDATA114;44,83250;11,62114;9;emiliaromagna;RETE EMILIA ROMAGNA OPENDATA;1961;2020;site1
14271;Imola;OPENDATA139;44,34535;11,71292;44;emiliaromagna;RETE EMILIA ROMAGNA OPENDATA;1961;2020;site1
14444;Secondo Salto;OPENDATA312;44,78278;11,37016;15;emiliaromagna;RETE EMILIA ROMAGNA OPENDATA;1961;2020;site1
9068;CABORTOLANI;08CABORTOLANI;44,34682;11,08453;603;emiliaromagna;Idrografica;1997;2020;sito3
9101;CASTELDELRIO;08CASTELDELRIO;44,21120;11,50489;214;emiliaromagna;Idrografica;1961;2020;sito3
9167;FRASSINORO;08FRASSINORO;44,29576;10,57564;1001;emiliaromagna;Idrografica;1987;2020;sito3
9177;GUAGNINO;08GUAGNINO;44,68842;12,21159;3;emiliaromagna;Idrografica;1961;2020;sito3
9191;LAGDEI;08LAGDEI;44,41230;10,00852;1315;emiliaromagna;Idrografica;1994;2020;sito3
9192;LAGOBALLANO;08LAGOBALLANO;44,36950;10,10205;1255;emiliaromagna;Idrografica;1987;2020;sito3
9230;MONTEACUTOALPI;08MONTEACUTOALPI;44,13639;10,88739;828;emiliaromagna;Idrografica;1961;2020;sito3
9244;MONTESPIETRO;08MONTESPIETRO;44,43793;11,13634;249;emiliaromagna;Idrografica;1961;2020;sito3
9287;PIANORO;08PIANORO;44,37103;11,33988;196;emiliaromagna;Idrografica;1961;2020;sito3
9289;PIEVEPELAGO;08PIEVEPELAGO;44,19429;10,57721;979;emiliaromagna;Idrografica;1988;2020;sito3
9310;PRUGNOLO;08PRUGNOLO;44,39000;11,49455;247;emiliaromagna;Idrografica;1966;2020;sito3
9404;VERGATO;08VERGATO;44,28781;11,11311;207;emiliaromagna;Idrografica;1961;2020;sito3
