SiteID;SiteCode;SiteName;Latitude;Longitude;Elevation;Comments;nome_rete;annoInizio;annoFine;tipo
2;BAR;Barcis;46,193202;12,571028;468;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1963;2020;sito3
5;BOR;Bordano;46,332764;13,081196;230;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6;BGG;Borgo grotta gigante;45,709385;13,764681;275;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1990;2020;sito3
7;BRU;Brugnera;45,917972;12,545003;22;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
12;CER;Cervignano del friuli;45,849486;13,337015;8;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
13;CHI;Chievolis;46,254523;12,734044;345;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1970;2020;sito3
14;CIV;Cividale del friuli;46,080442;13,420014;127;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
15;COD;Codroipo;45,952356;13,002742;37;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
20;FOS;Fossalon;45,714768;13,458865;0;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
21;GEM;Gemona del friuli;46,261297;13,122088;184;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
23;GRA;Gradisca d'is.;45,889791;13,481807;29;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
24;GRD;Grado;45,676400;13,394500;5;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2018;sito3
27;LIG;Lignano sabbiadoro;45,701909;13,147078;7;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1966;2020;sito3
28;MNF;Monfalcone;45,780471;13,536554;0;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
36;PAL;Palazzolo dello stella;45,805702;13,052598;5;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
39;POR;Pordenone;45,953618;12,681257;23;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
43;SAN;San vito al tgl.;45,895661;12,814989;21;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
46;TAL;Talmassons;45,882311;13,155779;16;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
47;TAR;Tarvisio;46,510775;13,551886;794;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
51;TRI;Trieste molo f.lli bandiera;45,649996;13,752242;1;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
52;UDI;Udine s.o.;46,035212;13,226672;91;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
53;VIV;Vivaro;46,076529;12,768814;142;Serie FVG: il SiteID non va associato al SiteID delle serie HisCentral;NESSUNA INFORMAZIONE RETE;1962;2020;sito3
