SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
240;111600;Roma Macao;12,5072;41,9039;56;1;OD:111600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
333;391500;Collegio Romano;12,4806;41,8986;19;1;OD:391500;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
375;479700;Roma Monte Mario;12,4356;41,9356;111;1;OD:479700;NA;12;NA;NESSUNA INFORMAZIONE RETE;1964;2020;site1
239;108300;Aniene a Lunghezza;12,6675;41,9272;32;1;OD:108300;NA;12;NA;NESSUNA INFORMAZIONE RETE;1993;2018;sito3
265;185400;Fosso di Pratolungo;12,5989;41,9364;22;1;OD:185400;NA;12;NA;NESSUNA INFORMAZIONE RETE;1998;2018;sito3
273;199400;Marta a Tarquinia;11,7425;42,2569;50;1;OD:199400;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2018;sito3
275;199600;Allumiere;11,9086;42,1578;568;1;OD:199600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
276;199700;Civitavecchia;11,7853;42,0967;7;1;OD:199700;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
278;199900;Bracciano;12,1750;42,1019;214;1;OD:199900;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
281;200600;Leonessa;12,9536;42,5786;929;1;OD:200600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
282;200800;Posticciola;12,9419;42,2336;626;1;OD:200800;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
283;200900;Poggio Mirteto;12,6953;42,2700;353;1;OD:200900;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
285;201200;Ardea;12,5369;41,6117;22;1;OD:201200;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
288;201500;Amaseno a Fossanova;13,1944;41,4333;24;1;OD:201500;NA;12;NA;NESSUNA INFORMAZIONE RETE;1999;2018;sito3
289;201600;Latina;12,9058;41,4714;17;1;OD:201600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
324;354400;Castel Cellesi;12,1608;42,5861;327;1;OD:354400;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
329;391100;Barbarano;12,0444;42,2542;313;1;OD:391100;NA;12;NA;NESSUNA INFORMAZIONE RETE;1994;2020;sito3
334;391600;Frascati;12,6714;41,8097;245;1;OD:391600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
348;476800;Lugnano;12,9225;42,4342;637;1;OD:476800;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
352;477200;Lenola;13,4633;41,4089;480;1;OD:477200;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
377;479900;Bagnoregio;12,1025;42,6261;366;1;OD:479900;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
380;480200;Licenza;12,8997;42,0750;553;1;OD:480200;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
388;481000;Monte Terminillo;12,9928;42,4556;1594;1;OD:481000;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2018;sito3
434;575000;Fosso di Pantanello ad Ostia;12,3608;41,7172;8;1;OD:575000;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2018;sito3
