SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;County;nome_rete;annoInizio;annoFine;tipo
5819;Airole;00010;43,874056;7,545944;208;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5820;Alassio;00220;44,007222;8,170139;12;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5832;Calice al Cornoviglio;01348;44,249000;9,838700;426;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5839;Castelvecchio di R. B.;00270;44,133028;8,120222;565;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5849;Colle Belenda;00060;43,980000;7,700000;1235;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5863;Fiorino;00550;44,465778;8,705639;306;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5870;Imperia;00170;43,878900;8,016940;15;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5880;Levanto;01017;44,172100;9,606300;47;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5882;Loco Carchelli;01658;44,553600;9,284170;680;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5884;Manie;00390;44,193250;8,378830;292;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5888;Mignanego;00590;44,540806;8,940611;339;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5919;Ricco' del Golfo;01340;44,153190;9,763730;168;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5924;S. Margherita Vara;01300;44,275833;9,661111;225;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5926;Sanremo;00101;43,822694;7,786250;25;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5933;Sarzana;01380;44,114722;9,965278;33;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5934;Savona Istituto Nautico;00440;44,307111;8,484083;16;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5936;Sero' di Zignago;01320;44,265278;9,738056;525;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5937;Statale;00940;44,348694;9,483389;683;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
6649;Genova-Gavette;00732;44,434390;8,957900;112;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
7136;Onzo - Ponterotto;00248;44,057200;8,041300;149;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
8924;Rovegno;07ROGN0;44,575940;9,282500;686;liguria;NESSUNA INFORMAZIONE RETE;1970;2020;sito3
8963;S. Stefano dAveto;07SSAT0;44,547240;9,451590;1073;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
9596;Torriglia   Trebbia;08TORRIGLIA;44,517600;9,156600;803;liguria;NESSUNA INFORMAZIONE RETE;1997;2020;sito3
