SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;County;nome_rete;annoInizio;annoFine;tipo
5963;Sondrio;00107;46,165556;9,848611;301;lombardia;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5970;Cornalita;00119;45,882222;9,646944;481;lombardia;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5981;Milano - Parco Nord;00147;45,543333;9,207222;150;lombardia;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5998;Cremona;00677;45,142500;10,043611;45;lombardia;NESSUNA INFORMAZIONE RETE;1987;2018;site2
6000;Pavia;00817;45,185556;9,151389;80;lombardia;NESSUNA INFORMAZIONE RETE;1961;2019;site2
6009;Luino;00859;45,998056;8,744444;217;lombardia;NESSUNA INFORMAZIONE RETE;1996;2019;site2
6013;Monzambano;00873;45,390278;10,711111;93;lombardia;NESSUNA INFORMAZIONE RETE;1961;2018;site2
6031;Varese;00907;45,832500;8,823611;412;lombardia;NESSUNA INFORMAZIONE RETE;1961;2020;site2
6032;Voghera;00908;44,990278;9,017500;99;lombardia;NESSUNA INFORMAZIONE RETE;1989;2020;site2
6037;Valcanale;01218;45,950556;9,863333;1209;lombardia;NESSUNA INFORMAZIONE RETE;1961;2019;site2
9601;Valverde   Tidone;08VALVERDE;44,868400;9,233600;523;lombardia;NESSUNA INFORMAZIONE RETE;1987;2020;site2
