SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
201;201;Bolognola;13,239088;42,991081;1360;0;OD:201;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2019;site2
204;204;Sarnano;13,241568;43,006702;1365;0;OD:204;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2019;site1
17;17;Calcinelli;12,967556;43,762669;36;0;OD:17;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
19;19;Servigliano;13,498032;43,085857;197;0;OD:19;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
25;25;Ascoli Piceno;13,651516;42,852242;78;0;OD:25;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
29;29;Pesaro;12,897710;43,907555;9;0;OD:29;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
101;101;Sant'Angelo in Vado;12,410222;43,666889;352;0;OD:101;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
102;102;Sassocorvaro;12,512582;43,808586;173;0;OD:102;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
103;103;Petriano;12,707200;43,781498;122;0;OD:103;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
106;106;Acqualagna;12,684500;43,628277;193;0;OD:106;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
108;108;Pergola;12,844062;43,568672;242;0;OD:108;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
109;109;Fonte Avellana;12,726417;43,471085;690;0;OD:109;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
110;110;Jesi;13,229972;43,531944;100;0;OD:110;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
118;118;Cupramontana;13,115717;43,445461;510;0;OD:118;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
119;119;Montecarotto;13,056502;43,534794;350;0;OD:119;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
123;123;Arcevia;12,936685;43,497452;535;0;OD:123;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
124;124;Loro Piceno;13,403673;43,159931;430;0;OD:124;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
128;128;Recanati;13,593250;43,383694;25;0;OD:128;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
