SiteID;SiteCode;SiteName;Elevation;Longitude;Latitude;altro_nome1;altro_nome2;nome_rete;annoInizio;annoFine;tipo
11;466;BARI_(FACOLTA_DINGEGNERIA);23;16,87778;41,10639;Bari_(politecnico);Bari_(politecnico);NESSUNA INFORMAZIONE RETE;1995;2020;site2
12;467;BARI_(OSSERVATORIO);34;16,87167;41,11722;Bari_(osservatorio);Bari_(osservatorio);NESSUNA INFORMAZIONE RETE;1995;2020;site2
13;402;BARI_(UFFICIO_IDROGRAFICO);17;16,88194;41,11972;Bari_idrografico;NA;NESSUNA INFORMAZIONE RETE;1995;2020;site1
97;19;NARDO;54;18,03333;40,16694;Nardo;Nardo';NESSUNA INFORMAZIONE RETE;1995;2020;site1
1;465;ADELFIA;153;16,85083;41,00000;Adelfia;Adelfia;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
2;476;ALBERONA;744;15,11694;41,41750;Alberona;Alberona;NESSUNA INFORMAZIONE RETE;1997;2020;sito3
3;401;ALTAMURA;458;16,55278;40,82389;Altamura;Altamura;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
4;46;ANDRETTA;890;15,31750;40,91722;Andretta;Andretta;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
5;33;ANDRIA;162;16,28417;41,21806;Andria;Andria;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
8;55;ASCOLI_SATRIANO;435;15,55056;41,20083;Ascoli_satriano;Ascoli_satriano;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
9;495;ATELLA;495;15,61806;40,86806;Atella;Atella;NESSUNA INFORMAZIONE RETE;1995;2019;sito3
10;56;AVETRANA;80;17,71722;40,33389;Avetrana;Avetrana;NESSUNA INFORMAZIONE RETE;1997;2018;sito3
14;29;BARLETTA;30;16,20028;41,30056;Barletta;Barletta;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
15;403;BICCARI;590;15,18389;41,40056;Biccari;Biccari;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
16;464;BISACCIA;900;15,36722;41,00028;Bisaccia;Bisaccia;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
17;1;BISCEGLIE;30;16,48389;41,23361;Bisceglie;Bisceglie;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
18;468;BITONTO;126;16,68389;41,10028;Bitonto;Bitonto;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
