SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;nome_rete;annoInizio;annoFine;tipo
4;Vallucciole;TOS01000571;OD:TOS01000571;43,842022;11,657476;750;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5;Montemignaio;TOS01000591;OD:TOS01000591;43,740236;11,620676;742;Italy;Toscana;Quota ricavata da dem;1968;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
6;Ortignano;TOS01000601;OD:TOS01000601;43,681925;11,751541;428;Italy;Toscana;Quota ricavata da dem;1991;2015;2014;2015;2014;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
8;Badia Prataglia;TOS01000621;OD:TOS01000621;43,794200;11,876816;935;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
9;Bibbiena;TOS01000626;OD:TOS01000626;43,714149;11,830949;397;Italy;Toscana;Quota ricavata da dem;1924;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1980;2020;site2
10;La Verna;TOS01000639;OD:TOS01000639;43,706911;11,931335;1053;Italy;Toscana;Quota ricavata da dem;1978;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
11;Salutio;TOS01000651;OD:TOS01000651;43,621303;11,815369;335;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1966;2020;site2
12;Capezzine;TOS01000701;OD:TOS01000701;43,182868;11,932118;324;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
13;Bettolle;TOS01000721;OD:TOS01000721;43,202908;11,803501;281;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
14;Monte S.Savino;TOS01000741;OD:TOS01000741;43,339127;11,742346;283;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
