SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;area;cod_reg;Comments;State;annoInizio;annoFine;tipo
6694;AVIANO;160360;160360;46,033;12,600;128;11;AVIANO;PORDENONE;FRIULI-VENEZIA GIULIA;NA;nord;6;NA;Italy;1961;2020;site2
6828;MONTE S. ANGELO;162580;162580;41,700;15,950;844;11;MONTE SANT'ANGELO;FOGGIA;PUGLIA;Sinottica;sud;16;NA;Italy;1962;2020;site1
6891;CATANIA/SIGONELLA;164590;164590;37,400;14,917;22;11;LENTINI;SIRACUSA;SICILIA;Sinottica;sud;19;NA;Italy;1964;2020;site2
6686;S. VALENTINO ALLA M;160080;160080;46,750;10,533;1461;11;CURON VENOSTA;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;nord;4;NA;Italy;1961;2020;sito3
6687;RESIA PASS;160083;160083;46,833;10,500;1800;11;CURON VENOSTA;BOLZANO;TRENTINO-ALTO ADIGE;NA;nord;4;NA;Italy;1999;2020;sito3
6690;BOLZANO;160200;160200;46,467;11,333;241;11;BOLZANO;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;nord;4;NA;Italy;1966;2020;sito3
6691;PASSO ROLLE;160210;160210;46,300;11,783;2006;11;SIROR;TRENTO;TRENTINO-ALTO ADIGE;Sinottica;nord;4;NA;Italy;1961;2020;sito3
6692;PAGANELLA;160220;160220;46,150;11,033;2129;11;FAI DELLA PAGANELLA;TRENTO;TRENTINO-ALTO ADIGE;Sinottica;nord;4;NA;Italy;1961;2020;sito3
6693;DOBBIACO;160330;160330;46,733;12,217;1226;11;DOBBIACO;BOLZANO;TRENTINO-ALTO ADIGE;Sinottica;nord;4;NA;Italy;1961;2020;sito3
6697;TARVISIO;160400;160400;46,500;13,583;778;11;TARVISIO;UDINE;FRIULI-VENEZIA GIULIA;Sinottica;nord;6;NA;Italy;1961;2020;sito3
6700;UDINE/RIVOLTO;160450;160450;45,983;13,033;53;11;CODROIPO;UDINE;FRIULI-VENEZIA GIULIA;NA;nord;6;NA;Italy;1970;2020;sito3
6703;PIAN ROSA;160520;160520;45,933;7,700;3488;11;VALTOURNENCHE;AOSTA;VALLE D'AOSTA;Sinottica;nord;2;NA;Italy;1966;2019;sito3
6707;TORINO/CASELLE;160590;160590;45,217;7,650;287;11;SAN MAURIZIO CANAVESE;TORINO;PIEMONTE;Sinottica;nord;1;NA;Italy;1965;2020;sito3
6709;TORINO/BRIC DELLA C;160610;160610;45,033;7,733;710;11;PECETTO TORINESE;TORINO;PIEMONTE;Sinottica;nord;1;NA;Italy;1961;2020;sito3
6710;NOVARA/CAMERI;160640;160640;45,517;8,667;169;11;CAMERI;NOVARA;PIEMONTE;Sinottica;nord;1;NA;Italy;1961;2020;sito3
6711;MILANO/MALPENSA;160660;160660;45,617;8,733;211;11;FERNO;VARESE;LOMBARDIA;Sinottica;nord;3;NA;Italy;1966;2020;sito3
6717;BERGAMO/ORIO AL SER;160760;160760;45,667;9,700;237;11;ORIO AL SERIO;BERGAMO;LOMBARDIA;Sinottica;nord;3;NA;Italy;1973;2020;sito3
6718;MILANO/LINATE;160800;160800;45,433;9,283;103;11;PESCHIERA BORROMEO;MILANO;LOMBARDIA;Sinottica;nord;3;NA;Italy;1965;2020;sito3
6720;PIACENZA;160840;160840;44,917;9,733;138;11;SAN GIORGIO PIACENTINO;PIACENZA;EMILIA-ROMAGNA;Sinottica;nord;8;NA;Italy;1961;2020;sito3
6721;BRESCIA/GHEDI;160880;160880;45,417;10,283;97;11;GHEDI;BRESCIA;LOMBARDIA;Sinottica;nord;3;NA;Italy;1961;2020;sito3
6723;VERONA/VILLAFRANCA;160900;160900;45,383;10,867;68;11;VILLAFRANCA DI VERONA;VERONA;VENETO;Sinottica;nord;5;NA;Italy;1961;2020;sito3
6729;TREVISO/ISTRANA;160980;160980;45,683;12,100;46;11;ISTRANA;TREVISO;VENETO;Sinottica;nord;5;NA;Italy;1962;2020;sito3
6730;TREVISO/S. ANGELO;160990;160990;45,650;12,183;23;11;QUINTO DI TREVISO;TREVISO;VENETO;Sinottica;nord;5;NA;Italy;1962;2020;sito3
6733;VENEZIA/TESSERA;161050;161050;45,500;12,333;6;11;VENEZIA;VENEZIA;VENETO;Sinottica;nord;5;NA;Italy;1965;2020;sito3
6735;RONCHI DEI LEGIONAR;161080;161080;45,817;13,483;12;11;RONCHI DEI LEGIONARI;GORIZIA;FRIULI-VENEZIA GIULIA;Sinottica;nord;6;NA;Italy;1973;2020;sito3
6736;TRIESTE;161100;161100;45,650;13,750;20;11;TRIESTE;TRIESTE;FRIULI-VENEZIA GIULIA;Sinottica;nord;6;NA;Italy;1966;2020;sito3
6747;ALBENGA;161220;161220;44,050;8,117;49;11;ORTOVERO;SAVONA;LIGURIA;Sinottica;nord;7;NA;Italy;1973;2020;sito3
6750;SARZANA/LUNI;161250;161250;44,083;9,983;10;11;SARZANA;LA SPEZIA;LIGURIA;NA;nord;7;NA;Italy;1971;2020;sito3
6762;FERRARA;161380;161380;44,833;11,617;10;11;FERRARA;FERRARA;EMILIA-ROMAGNA;Sinottica;nord;8;NA;Italy;1961;2020;sito3
