SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
240;111600;Roma Macao;12,5072;41,9039;56;1;OD:111600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1965;2020;sito3
273;199400;Marta a Tarquinia;11,7425;42,2569;50;1;OD:199400;NA;12;NA;NESSUNA INFORMAZIONE RETE;1999;2018;sito3
274;199500;Montefiascone;12,0228;42,5300;516;1;OD:199500;NA;12;NA;NESSUNA INFORMAZIONE RETE;1995;2020;sito3
275;199600;Allumiere;11,9086;42,1578;568;1;OD:199600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1964;2020;sito3
276;199700;Civitavecchia;11,7853;42,0967;7;1;OD:199700;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
278;199900;Bracciano;12,1750;42,1019;214;1;OD:199900;NA;12;NA;NESSUNA INFORMAZIONE RETE;1964;2020;sito3
281;200600;Leonessa;12,9536;42,5786;929;1;OD:200600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
282;200800;Posticciola;12,9419;42,2336;626;1;OD:200800;NA;12;NA;NESSUNA INFORMAZIONE RETE;1971;2020;sito3
283;200900;Poggio Mirteto;12,6953;42,2700;353;1;OD:200900;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
285;201200;Ardea;12,5369;41,6117;22;1;OD:201200;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
289;201600;Latina;12,9058;41,4714;17;1;OD:201600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
329;391100;Barbarano;12,0444;42,2542;313;1;OD:391100;NA;12;NA;NESSUNA INFORMAZIONE RETE;1994;2020;sito3
330;391200;Rocca Respampani;11,9289;42,3839;149;1;OD:391200;NA;12;NA;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
333;391500;Collegio Romano;12,4806;41,8986;19;1;OD:391500;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
334;391600;Frascati;12,6714;41,8097;245;1;OD:391600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
375;479700;Roma Monte Mario;12,4356;41,9356;111;1;OD:479700;NA;12;NA;NESSUNA INFORMAZIONE RETE;1965;2020;sito3
380;480200;Licenza;12,8997;42,0750;553;1;OD:480200;NA;12;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
382;480400;Morlupo;12,5067;42,1436;223;1;OD:480400;NA;12;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
383;480500;Palestrina;12,8814;41,8381;428;1;OD:480500;NA;12;NA;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
384;480600;Riano;12,5039;42,1014;171;1;OD:480600;NA;12;NA;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
388;481000;Monte Terminillo;12,9928;42,4556;1594;1;OD:481000;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
453;577500;Bolsena;11,9722;42,6533;352;1;OD:577500;NA;12;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
