SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;County;nome_rete;annoInizio;annoFine;tipo
5816;Diga del Brugneto;01662;44,530550;9,208333;761;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5818;S. Stefano d'Aveto;01681;44,549580;9,451944;1073;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5849;Colle Belenda;00060;43,980000;7,700000;1235;liguria;NESSUNA INFORMAZIONE RETE;1967;2019;site2
5868;Giacopiane;00900;44,462680;9,395250;998;liguria;NESSUNA INFORMAZIONE RETE;1967;2020;site2
5870;Imperia;00170;43,878900;8,016940;15;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5888;Mignanego;00590;44,540806;8,940611;339;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5889;Molino Branca;00311;44,048100;8,210830;10;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5924;S. Margherita Vara;01300;44,275833;9,661111;225;liguria;NESSUNA INFORMAZIONE RETE;1967;2020;site2
5926;Sanremo;00101;43,822694;7,786250;25;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5933;Sarzana;01380;44,114722;9,965278;33;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
5934;Savona Istituto Nautico;00440;44,307111;8,484083;16;liguria;NESSUNA INFORMAZIONE RETE;1961;2019;site2
5937;Statale;00940;44,348694;9,483389;683;liguria;NESSUNA INFORMAZIONE RETE;1961;2020;site2
