SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
112;112;Villa Fastiggi;12,869390;43,890610;22;0;OD:112;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
616;616;Apiro;13,079540;43,368420;580;0;OD:616;NA;11;NA;NESSUNA INFORMAZIONE RETE;1996;2020;site1
701;701;Ancona Torrette;13,449807;43,610954;5;0;OD:701;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
19;19;Servigliano;13,498032;43,085857;197;0;OD:19;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
25;25;Ascoli Piceno;13,651516;42,852242;78;0;OD:25;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
101;101;Sant'Angelo in Vado;12,410222;43,666889;352;0;OD:101;NA;11;NA;NESSUNA INFORMAZIONE RETE;1968;2020;sito3
104;104;Urbino;12,636861;43,723278;471;0;OD:104;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
108;108;Pergola;12,844062;43,568672;242;0;OD:108;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
109;109;Fonte Avellana;12,726417;43,471085;690;0;OD:109;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
110;110;Jesi;13,229972;43,531944;100;0;OD:110;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
123;123;Arcevia;12,936685;43,497452;535;0;OD:123;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
152;152;Fano;13,053796;43,826328;7;0;OD:152;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
605;605;Fabriano;12,904034;43,330273;354;0;OD:605;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
608;608;Cingoli;13,192330;43,362240;790;0;OD:608;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
703;703;Amatrice;13,296259;42,625565;954;0;OD:703;NA;11;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
