SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
6561;135;Trento (Roncafort);11,101279;46,095667;194;0;135;32;4;NA;NESSUNA INFORMAZIONE RETE;1977;2020;site2
6638;360;Passo Tonale T0360;10,635572;46,261915;1880;0;360;32;4;NA;NESSUNA INFORMAZIONE RETE;1963;2020;site1
6639;366;Pejo Frana;10,678177;46,364472;1580;0;366;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
6640;367;Cavalese (meteotrentino);11,451794;46,284762;958;0;367;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site1
6644;373;Malga Bissina;10,514022;46,053933;1750;0;373;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2019;site1
6954;414;San Lorenzo In Banale (Pergole;10,911055;46,066522;690;0;414;32;4;NA;NESSUNA INFORMAZIONE RETE;1983;2019;site1
6509;9;Centa;11,234123;45,970184;815;0;9;32;4;NA;NESSUNA INFORMAZIONE RETE;1962;2020;sito3
6511;14;Pontarso;11,494414;46,115589;925;0;14;32;4;NA;NESSUNA INFORMAZIONE RETE;1962;2020;sito3
6512;15;Bieno;11,553742;46,079537;806;0;15;32;4;NA;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
6516;24;Passo Cereda;11,906843;46,194016;1375;0;24;32;4;NA;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
6521;32;Lavarone;11,254037;45,939893;1155;0;32;32;4;NA;NESSUNA INFORMAZIONE RETE;1965;2020;sito3
6525;65;Careser (Diga);10,699326;46,422640;2600;0;65;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6528;71;Mezzana;10,795807;46,313429;905;0;71;32;4;NA;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
6529;74;Male';10,916104;46,355098;735;0;74;32;4;NA;NESSUNA INFORMAZIONE RETE;1994;2020;sito3
6533;82;Passo Mendola;11,189417;46,419238;1320;0;82;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6541;96;Pezze' di Moena (Diga);11,664561;46,383662;1205;0;96;32;4;NA;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
6543;99;Paganella;11,037444;46,143291;2125;0;99;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6546;103;Passo Rolle;11,787638;46,297214;1995;0;103;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6547;104;Passo Valles;11,799764;46,338417;2032;0;104;32;4;NA;NESSUNA INFORMAZIONE RETE;1985;2020;sito3
6564;139;Sant'Orsola;11,302200;46,107105;930;0;139;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6569;146;Aldeno;11,091715;45,967849;182;0;146;32;4;NA;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
6570;147;Rovereto;11,043954;45,896097;203;0;147;32;4;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
6574;151;Loppio;10,931337;45,855358;230;0;151;32;4;NA;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
6576;153;Ronchi di Ala;11,065345;45,739264;692;0;153;32;4;NA;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
6585;167;Pradalago Rifugio Agostini;10,813874;46,249712;2084;0;167;32;4;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
6591;177;Torrente Arno';10,640512;46,032072;1148;0;177;32;4;NA;NESSUNA INFORMAZIONE RETE;1985;2020;sito3
6598;189;Santa Massenza (Centrale);10,980894;46,065821;245;0;189;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2020;sito3
6601;193;Torbole;10,882485;45,881852;70;0;193;32;4;NA;NESSUNA INFORMAZIONE RETE;1975;2020;sito3
6603;203;Forte D'Ampola;10,646264;45,863908;725;0;203;32;4;NA;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
6609;212;Spormaggiore;11,047544;46,212402;655;0;212;32;4;NA;NESSUNA INFORMAZIONE RETE;1991;2020;sito3
6615;236;Romeno;11,118834;46,390724;958;0;236;32;4;NA;NESSUNA INFORMAZIONE RETE;1986;2020;sito3
6636;354;Tremalzo;10,683719;45,841850;1520;0;354;32;4;NA;NESSUNA INFORMAZIONE RETE;1999;2020;sito3
