SiteID;SiteName;FullSiteCode;SiteCode;County;Latitude;Longitude;Elevation;Comments;State;SiteName_CentroFunzionale;nome_rete;annoInizio;annoFine;tipo
742;Isola_polvese_1;742;742;Umbria;43,115;12,143;263;Quota ricavata da dem;Italy;Polvese_1;NESSUNA INFORMAZIONE RETE;2004;2020;site2
3539;Perugia_santa_giuliana;3539;3539;Umbria;43,105;12,387;412;Quota ricavata da dem;Italy;Perugia_santa_giuliana;NESSUNA INFORMAZIONE RETE;2004;2020;site2
1482;Perugia_sede;1482;1482;Umbria;43,106;12,376;352;Quota ricavata da dem;Italy;Perugia_fontivegge;NESSUNA INFORMAZIONE RETE;2004;2020;site1
268;Todi;268;268;Umbria;42,787;12,410;211;Quota ricavata da dem;Italy;Todi;NESSUNA INFORMAZIONE RETE;2004;2020;site1
1090;Armenzano;1090;1090;Umbria;43,072;12,702;614;Quota ricavata da dem;Italy;Armenzano;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
796;Bastardo;796;796;Umbria;42,865;12,558;321;Quota ricavata da dem;Italy;Bastardo;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
270;Bastia_umbra;270;270;Umbria;43,054;12,561;204;Quota ricavata da dem;Italy;Bastia_umbra;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
1480;Carestello;1480;1480;Umbria;43,286;12,534;494;Quota ricavata da dem;Italy;Carestello;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
792;Casa_castalda;792;792;Umbria;43,180;12,659;663;Quota ricavata da dem;Italy;Casa_castalda;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
1653;Cerbara;1653;1653;Umbria;43,509;12,218;318;Quota ricavata da dem;Italy;Cerbara;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
265;Citta_di_castello;265;265;Umbria;43,462;12,251;306;Quota ricavata da dem;Italy;Citta_di_castello;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
269;Compignano;269;269;Umbria;42,948;12,283;211;Quota ricavata da dem;Italy;Compignano;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
1520;Foligno;1520;1520;Umbria;42,953;12,679;222;Quota ricavata da dem;Italy;Foligno;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
301;Gubbio;301;301;Umbria;43,341;12,563;449;Quota ricavata da dem;Italy;Gubbio;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
4510;La_cima;4510;4510;Umbria;43,234;12,122;694;Quota ricavata da dem;Italy;La_cima;NESSUNA INFORMAZIONE RETE;2004;2020;sito3
