SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota;nome_rete;annoInizio;annoFine;tipo
2;1010;Cosenza;16,26527778;39,28694444;269;1;OD:1010;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
7;1030;San Pietro in Guarano;16,31361111;39,34555556;766;1;OD:1030;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
10;1060;Montalto Uffugo;16,13055556;39,40111111;436;1;OD:1060;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
14;1092;Camigliatello - Monte Curcio;16,42305556;39,31611111;1711;1;OD:1092;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
17;1120;Acri;16,39350000;39,48252778;746;1;OD:1120;NA;18;NA;NESSUNA INFORMAZIONE RETE;1988;2020;sito3
18;1130;Torano Scalo;16,21000000;39,49388889;93;1;OD:1130;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
20;1140;Tarsia;16,27277778;39,61722222;203;1;OD:1140;NA;18;NA;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
26;1180;Castrovillari;16,25416667;39,76555556;199;1;OD:1180;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
28;1185;Castrovillari - Camerata;16,27191667;39,73308333;63;1;OD:1185;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
34;1230;San Sosti;16,02805556;39,66444444;384;1;OD:1230;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
60;1380;Cropalati;16,72444444;39,51583333;321;1;OD:1380;NA;18;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
71;1455;Ciro' Marina - Punta Alice;17,12611111;39,38416667;8;1;OD:1455;NA;18;NA;NESSUNA INFORMAZIONE RETE;1990;2020;sito3
85;1500;Nocelle - Arvo;16,54500000;39,24333333;1307;1;OD:1500;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
95;1580;Cerenzia;16,78333333;39,24250000;596;1;OD:1580;NA;18;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
107;1675;Crotone - Papanice;17,02777778;39,07250000;118;1;OD:1675;NA;18;NA;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
108;1680;Crotone;17,13111111;39,08694444;1;1;OD:1680;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2019;sito3
111;1695;Crotone - Salica;17,12611111;39,01222222;145;1;OD:1695;NA;18;NA;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
112;1700;Isola di Capo Rizzuto - Campolongo;17,00880000;38,94305556;151;1;OD:1700;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
121;1740;San Mauro Marchesato;16,92888889;39,10444444;212;1;OD:1740;NA;18;NA;NESSUNA INFORMAZIONE RETE;1998;2020;sito3
140;1850;Catanzaro;16,58583333;38,91083333;315;1;OD:1850;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
156;1935;Cenadi - Serralta;16,36833333;38,74916667;949;1;OD:1935;NA;18;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
157;1940;Palermiti;16,45286111;38,74919444;525;1;OD:1940;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
160;1960;Chiaravalle Centrale;16,40888889;38,67138889;551;1;OD:1960;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
164;1980;Serra San Bruno;16,31972222;38,56527778;926;1;OD:1980;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
177;2040;Monasterace - Punta Stilo;16,55222222;38,45361111;64;1;OD:2040;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
184;2086;Mongiana;16,31672222;38,51630556;885;1;OD:2086;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
186;2090;Fabrizia;16,30027778;38,48600000;880;1;OD:2090;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
194;2150;Fabrizia - Cassari;16,29333333;38,44222222;999;1;OD:2150;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
196;2160;Gioiosa Ionica;16,32972222;38,30111111;18;1;OD:2160;NA;18;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
202;2200;Antonimina;16,18055556;38,25972222;126;1;OD:2200;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
208;2230;Plati';16,04444444;38,22222222;329;1;OD:2230;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
213;2270;Sant'Agata del Bianco;16,08533333;38,10075000;310;1;OD:2270;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
215;2290;Staiti;16,03550000;37,99986111;369;1;OD:2290;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
217;2310;Capo Spartivento;16,05613889;37,92727778;61;1;OD:2310;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
220;2340;Roccaforte del Greco;15,90083333;38,04527778;719;1;OD:2340;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
233;2450;Reggio Calabria;15,65094444;38,10786111;72;1;OD:2450;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
239;2465;Cardeto;15,79955556;38,10336111;1230;1;OD:2465;NA;18;NA;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
246;2510;Scilla;15,71972222;38,25166667;60;1;OD:2510;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
255;2540;Santa Cristina d'Aspromonte;15,96472222;38,25694444;448;1;OD:2540;NA;18;NA;NESSUNA INFORMAZIONE RETE;1990;2020;sito3
265;2600;Cittanova;16,07750000;38,35222222;407;1;OD:2600;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
284;2690;Feroleto della Chiesa;16,06833333;38,46805556;180;1;OD:2690;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
286;2710;Mammola - Limina C.C.;16,18916667;38,37133333;674;1;OD:2710;NA;18;NA;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
290;2730;Mileto;16,06480800;38,61386100;328;1;OD:2730;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
317;2890;Tiriolo;16,50994444;38,93955556;523;1;OD:2890;NA;18;NA;NESSUNA INFORMAZIONE RETE;1985;2020;sito3
327;2940;Nicastro - Bella;16,29944444;38,98555556;597;1;OD:2940;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
338;3000;Rogliano;16,32583333;39,18361111;665;1;OD:3000;NA;18;NA;NESSUNA INFORMAZIONE RETE;1985;2020;sito3
345;3060;Paola;16,04208333;39,36727778;282;1;OD:3060;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
348;3090;Cetraro Superiore;15,96408333;39,53505556;417;1;OD:3090;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
376;900;Albidona;16,46833333;39,92472222;675;1;OD:900;NA;18;NA;NESSUNA INFORMAZIONE RETE;1989;2020;sito3
380;930;Villapiana Scalo;16,49861111;39,79500000;0;NA;OD:930;NA;18;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
